Senator,State,State Electors,State Female Electors,State Male Electors,Female Share,Male Share,Active Participants,Share of National Participants,Participants as % of State Electors,Average Committed Support,Average Payments,Estimated Annual Funding Flow,Autism,Intellectual Disability,Psychosocial Disability,First Nations,CALD,0-14 Years,15+ Years,Major Cities (MMM1),Inner Regional (MMM2),Outer Regional (MMM3),Medium Rural (MMM4),Small Rural (MMM5),Remote (MMM6),Very Remote (MMM7),Active Providers,Participants Per Provider,State Share of National Providers,Participants,Average Support,Total Annual Committed Supports,1% Funding Reduction,5% Funding Reduction,10% Funding Reduction
Senator the Hon Sarah Henderson,VIC,4661613,2392269,2263189,0.5131848,0.4854948,208851,0.2696744553596331,4.480230340871282,40103.95,29613.09,8375749436.1,88866,27269,20454,8073,23227,90568,118283,151132,20618,13736,11249,12010,98,0,102278,2.04,0.3156358204901894,208851,40103.95,8375749436.1,83757494.361,418787471.8050001,837574943.6100001
Senator Steph Hodgins-May,VIC,4661613,2392269,2263189,0.5131848,0.4854948,208851,0.2696744553596331,4.480230340871282,40103.95,29613.09,8375749436.1,88866,27269,20454,8073,23227,90568,118283,151132,20618,13736,11249,12010,98,0,102278,2.04,0.3156358204901894,208851,40103.95,8375749436.1,83757494.361,418787471.8050001,837574943.6100001
Senator the Hon Jane Hume,VIC,4661613,2392269,2263189,0.5131848,0.4854948,208851,0.2696744553596331,4.480230340871282,40103.95,29613.09,8375749436.1,88866,27269,20454,8073,23227,90568,118283,151132,20618,13736,11249,12010,98,0,102278,2.04,0.3156358204901894,208851,40103.95,8375749436.1,83757494.361,418787471.8050001,837574943.6100001
Senator the Hon Bridget McKenzie,VIC,4661613,2392269,2263189,0.5131848,0.4854948,208851,0.2696744553596331,4.480230340871282,40103.95,29613.09,8375749436.1,88866,27269,20454,8073,23227,90568,118283,151132,20618,13736,11249,12010,98,0,102278,2.04,0.3156358204901894,208851,40103.95,8375749436.1,83757494.361,418787471.8050001,837574943.6100001
Senator James Paterson,VIC,4661613,2392269,2263189,0.5131848,0.4854948,208851,0.2696744553596331,4.480230340871282,40103.95,29613.09,8375749436.1,88866,27269,20454,8073,23227,90568,118283,151132,20618,13736,11249,12010,98,0,102278,2.04,0.3156358204901894,208851,40103.95,8375749436.1,83757494.361,418787471.8050001,837574943.6100001
Senator Jana Stewart,VIC,4661613,2392269,2263189,0.5131848,0.4854948,208851,0.2696744553596331,4.480230340871282,40103.95,29613.09,8375749436.1,88866,27269,20454,8073,23227,90568,118283,151132,20618,13736,11249,12010,98,0,102278,2.04,0.3156358204901894,208851,40103.95,8375749436.1,83757494.361,418787471.8050001,837574943.6100001
Senator Lidia Thorpe,VIC,4661613,2392269,2263189,0.5131848,0.4854948,208851,0.2696744553596331,4.480230340871282,40103.95,29613.09,8375749436.1,88866,27269,20454,8073,23227,90568,118283,151132,20618,13736,11249,12010,98,0,102278,2.04,0.3156358204901894,208851,40103.95,8375749436.1,83757494.361,418787471.8050001,837574943.6100001
Senator the Hon Jess Walsh,VIC,4661613,2392269,2263189,0.5131848,0.4854948,208851,0.2696744553596331,4.480230340871282,40103.95,29613.09,8375749436.1,88866,27269,20454,8073,23227,90568,118283,151132,20618,13736,11249,12010,98,0,102278,2.04,0.3156358204901894,208851,40103.95,8375749436.1,83757494.361,418787471.8050001,837574943.6100001
Senator William Brockman,WA,1915161,970204,943203,0.5065914,0.4924928,69231,0.08939307074901609,3.614891907260017,45389.16,32422.52,3142336829.3,31110,8546,5717,5791,5194,26745,42486,54586,3656,4147,789,2925,2008,1129,32652,2.12,0.1007659595479543,69231,45389.16,3142336829.3,31423368.293,157116841.465,314233682.93
Senator the Hon Michaelia Cash,WA,1915161,970204,943203,0.5065914,0.4924928,69231,0.08939307074901609,3.614891907260017,45389.16,32422.52,3142336829.3,31110,8546,5717,5791,5194,26745,42486,54586,3656,4147,789,2925,2008,1129,32652,2.12,0.1007659595479543,69231,45389.16,3142336829.3,31423368.293,157116841.465,314233682.93
